Year,Industry,Laid_Off
2023,Energy,350.0
2023,Transportation,900.0
2023,Finance,130.0
2023,Healthcare,235.0
2023,Retail,225.0
2023,Finance,15.0
2023,Retail,839.0
2023,Finance,145.0
2023,Other,265.0
2023,AI,150.0
2023,Transportation,128.0
2023,Travel,125.0
2023,Other,800.0
2023,Food,65.0
2023,Data,500.0
2023,Retail,250.0
2023,HR,73.0
2023,Finance,120.0
2023,Hardware,130.0
2023,Healthcare,119.0
2023,Logistics,500.0
2023,Sales,140.0
2023,Recruiting,660.0
2023,Finance,80.0
2023,Finance,172.0
2023,Data,84.0
2023,AI,20.0
2023,Healthcare,114.0
2023,Finance,80.0
2023,Education,29.0
2023,Other,780.0
2023,Crypto,150.0
2023,Finance,86.0
2023,Crypto,26.0
2023,Finance,28.0
2023,Consumer,870.0
2023,Logistics,131.0
2023,Other,75.0
2023,Product,237.0
2023,Marketing,40.0
2023,Travel,175.0
2023,Security,27.0
2023,Finance,100.0
2023,Food,34.0
2023,Marketing,100.0
2023,Media,360.0
2023,Healthcare,30.0
2023,Retail,24.0
2023,Transportation,17.0
2023,Product,37.0
2023,Manufacturing,700.0
2023,Marketing,8.0
2023,HR,150.0
2023,Finance,95.0
2023,Real Estate,149.0
2023,Security,300.0
2023,Finance,150.0
2023,Other,579.0
2023,Security,470.0
2023,Healthcare,100.0
2023,Healthcare,71.0
2023,Consumer,37.0
2023,HR,100.0
2023,Manufacturing,70.0
2023,Aerospace,117.0
2023,Real Estate,40.0
2023,Retail,255.0
2023,Real Estate,61.0
2023,Data,60.0
2023,Crypto,90.0
2023,Other,60.0
2023,Security,46.0
2023,Finance,67.0
2023,Travel,50.0
2023,Finance,28.0
2023,Aerospace,75.0
2023,HR,14.0
2023,Security,30.0
2023,Logistics,50.0
2023,Data,170.0
2023,Data,100.0
2023,Food,134.0
2023,Healthcare,20.0
2023,Healthcare,181.0
2023,Retail,35.0
2023,Other,90.0
2023,Media,37.0
2023,Infrastructure,255.0
2023,Finance,150.0
2023,Logistics,30.0
2023,Transportation,200.0
2023,Finance,45.0
2023,Healthcare,100.0
2023,Crypto,900.0
2023,Consumer,130.0
2023,Transportation,102.0
2023,Food,81.0
2023,Food,400.0
2023,Product,100.0
2023,Education,80.0
2023,Crypto,80.0
2023,Healthcare,75.0
2023,Security,60.0
2023,Healthcare,155.0
2023,Sales,140.0
2023,Infrastructure,134.0
2023,Consumer,90.0
2023,Security,50.0
2023,Marketing,90.0
2023,Support,320.0
2023,Recruiting,270.0
2023,Other,100.0
2023,Infrastructure,40.0
2023,Retail,22.0
2023,Travel,164.0
2023,Logistics,130.0
2023,Education,172.0
2023,Finance,63.0
2023,Finance,40.0
2023,Finance,45.0
2023,Transportation,340.0
2023,Other,60.0
2023,Recruiting,58.0
2023,Security,290.0
2023,Security,100.0
2023,Recruiting,716.0
2023,Healthcare,270.0
2023,Travel,1100.0
2023,Crypto,30.0
2023,Other,600.0
2023,Other,137.0
2023,Marketing,70.0
2023,Media,22.0
2023,Security,50.0
2023,Healthcare,326.0
2023,Other,500.0
2023,Data,320.0
2023,Transportation,120.0
2023,Recruiting,100.0
2023,Other,43.0
2023,Finance,30.0
2023,Finance,115.0
2023,Finance,70.0
2023,Infrastructure,40.0
2023,Transportation,1072.0
2023,Other,74.0
2023,Media,180.0
2023,HR,35.0
2023,Other,112.0
2023,Real Estate,560.0
2023,Crypto,16.0
2023,Finance,81.0
2023,Finance,75.0
2023,Crypto,17.0
2023,Data,100.0
2023,Other,300.0
2023,Real Estate,201.0
2023,Logistics,45.0
2023,Energy,10.0
2023,Healthcare,170.0
2023,Data,99.0
2023,Finance,15.0
2023,Other,170.0
2023,Finance,48.0
2023,Recruiting,15.0
2023,Media,200.0
2023,Finance,19.0
2023,Sales,17.0
2023,Consumer,780.0
2023,Healthcare,23.0
2023,Transportation,1300.0
2023,Transportation,46.0
2023,HR,2200.0
2023,HR,140.0
2023,Retail,9000.0
2023,Support,114.0
2023,Education,42.0
2023,Retail,40.0
2023,Retail,32.0
2023,Consumer,10000.0
2023,Retail,100.0
2023,Crypto,75.0
2023,Finance,15.0
2023,Food,100.0
2023,Fitness,80.0
2023,Media,475.0
2023,Transportation,230.0
2023,Security,177.0
2023,Media,12.0
2023,Other,500.0
2023,Transportation,209.0
2023,Travel,100.0
2023,Consumer,80.0
2023,Healthcare,285.0
2023,Finance,130.0
2023,Data,75.0
2023,Sales,70.0
2023,Security,19.0
2023,Consumer,200.0
2023,Marketing,40.0
2023,Crypto,30.0
2023,Hardware,2400.0
2023,Finance,100.0
2023,Sales,680.0
2023,Other,400.0
2023,Retail,230.0
2023,Other,85.0
2023,Sales,221.0
2023,Infrastructure,200.0
2023,Support,100.0
2023,Other,1500.0
2023,Other,141.0
2023,Consumer,85.0
2023,Marketing,100.0
2023,Consumer,1600.0
2023,Food,649.0
2023,Healthcare,215.0
2023,Finance,155.0
2023,Product,130.0
2023,Marketing,530.0
2023,Finance,500.0
2023,HR,126.0
2023,Sales,80.0
2023,Healthcare,31.0
2023,Finance,24.0
2023,Other,1300.0
2023,Retail,500.0
2023,Security,212.0
2023,Sales,100.0
2023,HR,90.0
2023,Crypto,89.0
